Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Region,Subregion,Latitude,Longitude,Elevation,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
343050,"14 de Marzo, Cerro",Pyroclastic cone of San Salvador,,,,,,,,,,,,,,,,,,,,,,,
221170,Aabida,Synonym of Adwa,,,,,,,,,,,,,,,,,,,,,,,
232010,Ab E Garm,Thermal of Damavand,,,,,,,,,,,,,,,,,,,,,,,
264010,"Abang, Gunung",Stratovolcano of Batur,,,,,,,,,,,,,,,,,,,,,,,
221290,Abaro,Cone of Corbetti Caldera,,,,,,,,,,,,,,,,,,,,,,,
213010,Abas Tepe,Cone of Erciyes Dagi,,,,,,,,,,,,,,,,,,,,,,,
390015,Abbott,Pyroclastic cone of Melbourne,,,,,,,,,,,,,,,,,,,,,,,
390020,Abbott Peak,Cone of Erebus,,,,,,,,,,,,,,,,,,,,,,,
383030,"Abejera, Montaña",Dome of Tenerife,,,,,,,,,,,,,,,,,,,,,,,
383030,"Abeque, Montaña de",Pyroclastic cone of Tenerife,,,,,,,,,,,,,,,,,,,,,,,
221170,Abida,Synonym of Adwa,,,,,,,,,,,,,,,,,,,,,,,
222030,Abili Agituk,Synonym of Wargess,,,,,,,,,,,,,,,,,,,,,,,
353070,Abingdon,Synonym of Pinta,,,,,,,,,,,,,,,,,,,,,,,
257030,Aboa,Synonym of Ambae,,,,,,,,,,,,,,,,,,,,,,,
225060,"Abour, Jebel El",Cone of Bayuda Volcanic Field,,,,,,,,,,,,,,,,,,,,,,,
341094,"Abra, Cerro el","Synonym of Atlixcos, Los",,,,,,,,,,,,,,,,,,,,,,,
383030,Abrunco,Dome of Tenerife,,,,,,,,,,,,,,,,,,,,,,,
283001,Abu,Shield(s),-6850,Japan,"Japan, Taiwan, Marianas",Honshu,34.5,131.6,641,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,3597,9594,117805,4071152
221021,Abu Ail Island,Cone of Zukur,,,,,,,,,,,,,,,,,,,,,,,
231071,"Abu Haris, Jabal","Dome of Kishb, Harrat",,,,,,,,,,,,,,,,,,,,,,,
231060,"Abyad, Jabal","Dome of Khaybar, Harrat",,,,,,,,,,,,,,,,,,,,,,,
300125,Academii Nauk,Synonym of Akademia Nauk,,,,,,,,,,,,,,,,,,,,,,,
355096,Acamarachi,Stratovolcano,Unknown,Chile,South America,"Northern Chile, Bolivia and Argentina",-23.292,-67.618,6023,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,0,7,294,9092
341023,Acantilados Mayor,"Tuff cone of Isabel, Isla",,,,,,,,,,,,,,,,,,,,,,,
341023,Acantilados Rabijuncos,"Tuff cone of Isabel, Isla",,,,,,,,,,,,,,,,,,,,,,,
342080,Acatenango,Stratovolcano(es),1972,Guatemala,México and Central America,Guatemala,14.501,-90.876,3976,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt, , , , ,4329,60730,1042836,7634778
341095,"Acatlán, Cerro",Pyroclastic cone of Naolinco Volcanic Field,,,,,,,,,,,,,,,,,,,,,,,
211010,Accademia,Dome of Campi Flegrei,,,,,,,,,,,,,,,,,,,,,,,
