Artist,Genre,Image_Link
Cher,Pop,https://lastfm-img2.akamaized.net/i/u/300x300/b94a02b10c0768911a9bd054363c44f1.png
Iggy Azalea,Hip-hop,https://lastfm-img2.akamaized.net/i/u/300x300/73fb52f4b3b17e3025ca2d7eb58294eb.png
Charli XCX,Synthpop,https://lastfm-img2.akamaized.net/i/u/300x300/43b5344f328145b9f7f19c70ee445817.png
Vampire Weekend,Indie,https://lastfm-img2.akamaized.net/i/u/300x300/de223861944642f9b95332bde94fa7a8.png
The Killers,Indie,https://lastfm-img2.akamaized.net/i/u/300x300/6583c8519c5393cbfdaf860f8bf6d68a.png
MGMT,Electronic,https://lastfm-img2.akamaized.net/i/u/300x300/ca5a4bd29ae74bebafddbddf1829d30d.png
Editors,Seen live,https://lastfm-img2.akamaized.net/i/u/300x300/5ed3d80f739ded44e63413e79ddf77bf.png
Phoenix,Indie,https://lastfm-img2.akamaized.net/i/u/300x300/33bb9c43b242458fa9c609339b1f1862.png
Klaxons,New rave,https://lastfm-img2.akamaized.net/i/u/300x300/ee91b26b6f854adfca871c900c2c74c1.png
TV on the Radio,Indie,https://lastfm-img2.akamaized.net/i/u/300x300/0080fac1ab304b82bfc1958d84f6b867.png
Modest Mouse,Indie,https://lastfm-img2.akamaized.net/i/u/300x300/0b5a3148eab74a3fca1003c18a1e5a98.png
Rita Ora,Pop,https://lastfm-img2.akamaized.net/i/u/300x300/835eb959ba0440ae1a635ac619aec671.png
Foals,Indie,https://lastfm-img2.akamaized.net/i/u/300x300/f7bc34403d654c2696d0e8eb153649c4.png
Black Kids,Indie,https://lastfm-img2.akamaized.net/i/u/300x300/6a17c0a2d33146c6c6d22f75f230d88d.png
Dënver,Indie pop,https://lastfm-img2.akamaized.net/i/u/300x300/1d2ad9acd40ee5550af606f7d47c80f3.png
Gepe,Chile,https://lastfm-img2.akamaized.net/i/u/300x300/fde6f6b972d840e0c07086cf02883e97.png
Lorde,Pop,https://lastfm-img2.akamaized.net/i/u/300x300/5b056d66651f34e362c8bff1b90e9f2d.png
Britney Spears,Pop,https://lastfm-img2.akamaized.net/i/u/300x300/a41a4d29cefc5ed30796ce676cd925e0.png
Miranda!,Pop,https://lastfm-img2.akamaized.net/i/u/300x300/792b11b454556feba2c4b17bad312128.png
Primal Scream,Rock,https://lastfm-img2.akamaized.net/i/u/300x300/16f30d7857d642ccc2bcebfb95ca1041.png
The Dandy Warhols,Indie,https://lastfm-img2.akamaized.net/i/u/300x300/34d4177a90364c71b06a1165eb67198d.png
Miami Horror,Electronic,https://lastfm-img2.akamaized.net/i/u/300x300/74de838c994f4dedab171bd8c8fee4aa.png
Gwen Stefani,Pop,https://lastfm-img2.akamaized.net/i/u/300x300/2115dab77f70516c18827bd9b92a349a.png
The Pains of Being Pure at Heart,Shoegaze,https://lastfm-img2.akamaized.net/i/u/300x300/bf20bdc05ced4b588a8df8de458f9254.png
Panic! at the Disco,Rock,https://lastfm-img2.akamaized.net/i/u/300x300/3b13095377d061e8d43a1aaac701ebc3.png
Lily Allen,Pop,https://lastfm-img2.akamaized.net/i/u/300x300/09bb99bcd0d60ee313991c10eb8e5847.png
The Cribs,Indie,https://lastfm-img2.akamaized.net/i/u/300x300/07d974b161df4c43ac17f52605dbf636.png
