,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
0,1663.0,1.0,2.5,1.0,13.0,1.0,27.0,0.3,169.0,4.0,14.0,831.0,1439.0,2084.0,7.0,1.0,18.0,1.0,0.0,0.0,2.0
1,1663.0,1.0,0.5,0.0,0.0,0.0,40.0,0.6,147.0,4.0,15.0,951.0,1545.0,1336.0,8.0,5.0,15.0,1.0,0.0,0.0,1.0
2,1323.0,1.0,2.5,1.0,10.0,1.0,28.0,0.2,131.0,4.0,12.0,162.0,619.0,1892.0,10.0,0.0,15.0,1.0,1.0,1.0,1.0
3,1099.0,0.0,0.5,0.0,13.0,1.0,61.0,0.3,146.0,3.0,20.0,393.0,1096.0,1699.0,17.0,10.0,3.0,1.0,1.0,1.0,1.0
4,1563.0,0.0,1.7,1.0,10.0,0.0,16.0,0.1,151.0,7.0,13.0,410.0,572.0,3922.0,11.0,1.0,8.0,0.0,0.0,1.0,3.0
5,1248.0,0.0,2.4,0.0,6.0,1.0,9.0,0.4,89.0,3.0,8.0,71.0,1686.0,2454.0,9.0,8.0,13.0,1.0,1.0,0.0,2.0
6,1283.0,1.0,1.6,1.0,4.0,0.0,47.0,0.9,93.0,5.0,5.0,372.0,692.0,2698.0,9.0,6.0,17.0,1.0,1.0,0.0,2.0
7,596.0,0.0,1.4,0.0,8.0,0.0,46.0,0.6,165.0,1.0,18.0,953.0,984.0,2505.0,15.0,4.0,15.0,1.0,1.0,0.0,1.0
8,1379.0,0.0,1.8,0.0,5.0,1.0,47.0,0.9,,7.0,12.0,904.0,1364.0,2208.0,9.0,3.0,14.0,0.0,0.0,0.0,3.0
9,1804.0,0.0,0.5,0.0,9.0,1.0,22.0,0.6,153.0,7.0,19.0,1158.0,1244.0,3472.0,9.0,1.0,20.0,1.0,0.0,1.0,3.0
10,957.0,1.0,0.7,0.0,0.0,1.0,4.0,0.1,160.0,2.0,0.0,38.0,1682.0,1898.0,12.0,4.0,3.0,1.0,1.0,0.0,1.0
11,783.0,0.0,1.8,1.0,0.0,1.0,43.0,1.0,106.0,3.0,4.0,1198.0,1471.0,2016.0,16.0,4.0,18.0,1.0,1.0,0.0,1.0
12,880.0,0.0,1.7,0.0,2.0,0.0,6.0,0.6,198.0,4.0,19.0,632.0,660.0,3006.0,6.0,4.0,3.0,1.0,0.0,0.0,2.0
13,917.0,1.0,0.5,0.0,1.0,1.0,31.0,0.5,88.0,6.0,2.0,423.0,909.0,3424.0,19.0,2.0,13.0,1.0,1.0,0.0,3.0
14,1144.0,1.0,1.5,1.0,0.0,0.0,21.0,0.4,189.0,1.0,11.0,159.0,724.0,3252.0,16.0,0.0,8.0,0.0,0.0,0.0,2.0
15,675.0,1.0,2.0,1.0,11.0,0.0,,0.5,173.0,6.0,7.0,444.0,1641.0,2110.0,12.0,1.0,13.0,1.0,0.0,1.0,1.0
16,571.0,0.0,0.6,0.0,1.0,1.0,43.0,0.5,141.0,3.0,8.0,224.0,783.0,2587.0,7.0,5.0,18.0,1.0,0.0,0.0,1.0
17,715.0,0.0,2.3,1.0,4.0,0.0,48.0,0.1,160.0,4.0,6.0,21.0,562.0,3709.0,14.0,2.0,10.0,0.0,0.0,0.0,2.0
18,1747.0,1.0,0.9,0.0,6.0,1.0,48.0,0.7,94.0,3.0,19.0,947.0,1131.0,2362.0,17.0,2.0,19.0,1.0,1.0,0.0,2.0
19,1853.0,0.0,0.5,1.0,1.0,0.0,27.0,0.3,197.0,6.0,13.0,985.0,1005.0,1973.0,10.0,2.0,8.0,1.0,0.0,1.0,2.0
20,984.0,1.0,2.2,1.0,0.0,1.0,39.0,0.5,119.0,8.0,18.0,56.0,1931.0,2013.0,11.0,7.0,16.0,1.0,1.0,0.0,1.0
21,1995.0,1.0,1.9,0.0,6.0,0.0,9.0,0.8,139.0,6.0,18.0,1830.0,1963.0,1203.0,14.0,12.0,18.0,1.0,1.0,1.0,2.0
22,1242.0,0.0,0.9,1.0,11.0,0.0,33.0,0.2,,1.0,6.0,256.0,948.0,3930.0,5.0,12.0,15.0,1.0,1.0,,1.0
23,1760.0,0.0,1.4,1.0,5.0,0.0,63.0,0.8,127.0,8.0,19.0,1382.0,1383.0,2053.0,19.0,12.0,16.0,0.0,1.0,0.0,2.0
24,1939.0,1.0,2.8,1.0,0.0,1.0,55.0,0.6,199.0,4.0,10.0,320.0,520.0,1047.0,14.0,10.0,18.0,1.0,1.0,0.0,0.0
25,1689.0,0.0,1.8,0.0,17.0,0.0,24.0,0.3,127.0,3.0,18.0,954.0,1200.0,2766.0,7.0,2.0,7.0,0.0,1.0,1.0,3.0
26,564.0,0.0,1.8,1.0,0.0,1.0,51.0,0.5,168.0,3.0,1.0,912.0,1980.0,1074.0,14.0,8.0,15.0,1.0,1.0,0.0,0.0
27,1571.0,0.0,1.4,0.0,0.0,1.0,19.0,0.1,100.0,6.0,1.0,713.0,1398.0,666.0,12.0,10.0,13.0,1.0,1.0,0.0,0.0
28,1234.0,0.0,1.7,1.0,8.0,0.0,17.0,0.9,174.0,6.0,15.0,209.0,725.0,3351.0,12.0,9.0,19.0,0.0,0.0,1.0,2.0
29,1720.0,0.0,2.0,0.0,15.0,1.0,55.0,0.5,168.0,2.0,18.0,753.0,1353.0,2148.0,14.0,2.0,5.0,1.0,1.0,1.0,2.0
30,1205.0,1.0,2.7,0.0,5.0,0.0,10.0,0.1,163.0,6.0,10.0,321.0,1870.0,953.0,18.0,11.0,20.0,0.0,1.0,1.0,0.0
31,1949.0,1.0,1.4,0.0,7.0,0.0,57.0,0.3,145.0,7.0,11.0,951.0,1178.0,356.0,5.0,3.0,19.0,0.0,0.0,0.0,0.0
32,1719.0,1.0,2.1,1.0,0.0,0.0,52.0,0.1,187.0,3.0,1.0,417.0,520.0,2610.0,10.0,1.0,11.0,1.0,1.0,1.0,2.0
33,1225.0,1.0,2.4,0.0,0.0,0.0,15.0,0.1,155.0,5.0,0.0,840.0,982.0,1970.0,16.0,8.0,15.0,1.0,1.0,0.0,1.0
34,962.0,0.0,1.0,1.0,14.0,0.0,2.0,0.9,125.0,1.0,20.0,1618.0,1916.0,1491.0,16.0,2.0,14.0,1.0,0.0,0.0,1.0
35,725.0,0.0,1.3,1.0,16.0,0.0,60.0,0.4,160.0,8.0,17.0,1134.0,1249.0,1326.0,10.0,4.0,15.0,1.0,0.0,0.0,1.0
36,1876.0,0.0,2.8,1.0,3.0,1.0,56.0,0.4,182.0,3.0,4.0,235.0,585.0,3021.0,12.0,2.0,18.0,1.0,0.0,0.0,2.0
37,1281.0,1.0,2.8,1.0,3.0,1.0,8.0,0.3,144.0,4.0,19.0,590.0,954.0,1851.0,8.0,2.0,9.0,1.0,1.0,0.0,1.0
38,1882.0,1.0,1.3,1.0,8.0,0.0,47.0,0.2,140.0,2.0,13.0,119.0,652.0,2500.0,17.0,1.0,11.0,0.0,0.0,1.0,2.0
39,697.0,0.0,2.7,1.0,5.0,1.0,20.0,0.4,173.0,2.0,6.0,478.0,1477.0,259.0,12.0,6.0,4.0,1.0,1.0,1.0,0.0
40,1775.0,1.0,1.5,0.0,3.0,0.0,41.0,0.1,163.0,1.0,7.0,1633.0,1869.0,2343.0,19.0,13.0,14.0,1.0,1.0,1.0,3.0
41,1944.0,1.0,0.5,0.0,5.0,1.0,36.0,0.1,197.0,6.0,18.0,1060.0,1970.0,584.0,17.0,14.0,13.0,1.0,1.0,0.0,1.0
42,759.0,0.0,2.5,0.0,3.0,1.0,39.0,0.3,162.0,2.0,8.0,110.0,1317.0,968.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0
43,1715.0,0.0,1.3,0.0,0.0,1.0,12.0,0.3,94.0,8.0,6.0,1224.0,1676.0,1633.0,15.0,10.0,5.0,1.0,1.0,1.0,2.0
44,1384.0,1.0,2.8,1.0,15.0,0.0,60.0,0.1,82.0,3.0,18.0,983.0,1210.0,1221.0,18.0,12.0,15.0,1.0,0.0,1.0,1.0
45,1957.0,0.0,1.2,1.0,18.0,1.0,36.0,0.8,151.0,2.0,19.0,1194.0,1727.0,1115.0,16.0,2.0,18.0,1.0,0.0,1.0,1.0
46,743.0,0.0,0.5,1.0,0.0,1.0,33.0,0.3,95.0,2.0,1.0,1587.0,1659.0,316.0,19.0,10.0,4.0,1.0,0.0,0.0,0.0
47,1887.0,1.0,3.0,1.0,6.0,1.0,17.0,0.2,126.0,8.0,7.0,1172.0,1798.0,3348.0,18.0,16.0,16.0,1.0,1.0,0.0,3.0
48,1551.0,0.0,1.1,0.0,4.0,0.0,51.0,0.1,88.0,5.0,6.0,1738.0,1995.0,3844.0,11.0,8.0,4.0,0.0,1.0,0.0,3.0
