,users,bookmarks,county,state,cal,cal_fat,col,fiber,sodium,carbs,fat,protein,sugar,dabetis,obese
0,1,12,Abbeville,South Carolina,280.41666666666663,138000.0,32.416666666666664,2733.333333333333,478.4166666666666,27725.0,15300.0,9308.333333333334,12066.666666666664,5,2
1,4,29,Acadia,Louisiana,348.2758620689655,162896.55172413788,121.34482758620692,2117.2413793103447,635.4482758620691,24465.51724137931,18117.241379310344,21486.206896551725,10706.896551724136,,
2,1,4,Accomack,Virginia,299.25,140000.0,51.25,1250.0,159.0,36075.0,15550.0,5075.0,21850.0,4,3
3,76,2400,Ada,Idaho,328.73916666666673,152398.33333333337,60.30208333333333,2538.291666666666,557.1345833333336,29563.41666666667,16933.20833333333,14989.333333333336,10735.708333333336,2,2
4,5,47,Adair,Oklahoma,343.70212765957444,178872.3404255319,94.82978723404257,1753.1914893617022,657.9574468085108,22140.425531914894,19865.957446808512,19095.744680851065,8063.829787234043,4,3
5,49,1265,Adams,Pennsylvania,337.37233201581034,157908.30039525693,65.90830039525693,2286.0869565217395,640.7162055335965,29217.07509881424,17544.584980237156,15697.39130434782,10916.363636363629,3,2
6,1,2,Addison,Vermont,407.5,269500.0,67.0,2900.0,505.5,19100.0,29900.0,16900.0,3500.0,2,2
7,11,188,Aiken,South Carolina,377.7925531914894,186042.55319148942,76.01063829787235,2343.617021276596,725.0531914893618,28883.51063829787,20670.212765957443,19323.936170212768,9379.255319148935,4,3
8,2,43,Aitkin,Minnesota,381.25581395348837,153767.44186046513,53.11627906976746,3444.186046511628,794.7441860465117,38300.0,17095.348837209298,19116.279069767443,9732.558139534884,3,2
9,39,685,Alachua,Florida,321.44087591240867,149554.74452554743,57.807299270073,2478.102189781022,516.7284671532847,29870.656934306568,16618.97810218978,13732.554744525545,11930.65693430657,3,2
10,11,343,Alamance,North Carolina,298.54810495626833,136521.86588921284,64.34693877551021,2079.883381924198,515.1137026239068,27367.930029154515,15170.845481049562,13595.335276967928,11115.743440233235,3,3
11,101,3026,Alameda,California,331.09418374091234,154506.93985459328,60.51454064771978,2388.6979510905467,554.3975545274286,30566.721744877716,17167.977528089883,14083.013879709191,12103.469927296772,2,1
12,2,91,Alamosa,Colorado,309.978021978022,149098.90109890114,57.12087912087912,1525.2747252747256,461.4615384615384,30351.64835164835,16567.03296703297,10396.703296703296,13969.230769230771,2,1
13,43,2003,Albany,New York,346.71392910634063,167634.54817773338,67.89965052421368,2583.974038941587,632.9735396904639,27671.04343484773,18625.91113330005,17384.22366450324,9460.659011482772,1,1
14,2,2,Albemarle,Virginia,456.0,191000.0,103.0,850.0,608.0,31800.0,21250.0,33550.0,19150.0,3,2
15,4,144,Alcona,Michigan,331.02083333333337,156513.88888888888,60.576388888888886,2335.4166666666665,595.5833333333333,30138.19444444445,17385.416666666664,14076.388888888889,11311.111111111111,4,2
16,3,35,Alcorn,Mississippi,303.9428571428571,133342.85714285713,56.542857142857144,1680.0,275.45714285714286,34348.57142857143,14811.428571428569,9691.428571428572,16262.857142857141,4,3
17,1,70,Aleutians West,Alaska,331.32857142857137,152028.57142857142,58.457142857142856,2574.285714285715,629.0571428571427,28444.285714285717,16891.428571428572,16837.14285714286,10284.285714285717,2,2
18,1,18,Alexander,North Carolina,372.22222222222223,160333.33333333337,71.72222222222223,2783.333333333333,586.9444444444445,40094.444444444445,17805.55555555556,13711.111111111111,17822.222222222223,3,2
19,1,29,Alfalfa,Oklahoma,215.86206896551724,94206.89655172412,34.6896551724138,2396.5517241379307,206.58620689655172,26724.137931034482,10458.620689655172,5596.551724137931,16237.931034482757,4,2
20,13,205,Allegan,Michigan,328.32195121951224,165429.26829268294,61.92682926829268,2085.3658536585367,545.5317073170729,27655.609756097565,18386.341463414643,14050.243902439026,13245.365853658535,3,2
21,12,167,Allegany,New York,323.4371257485031,151712.5748502994,57.065868263473064,2304.790419161677,424.58682634730536,33394.610778443115,16849.700598802396,10303.592814371255,16419.161676646705,3,2
22,165,5473,Allegheny,Pennsylvania,329.8415859674765,155761.00858761198,60.12552530604777,2219.4957061940468,548.0454960716243,29954.522199890394,17306.084414397956,14030.111456239729,12460.332541567688,3,2
23,63,2012,Allen,Ohio,331.558648111332,156133.69781312128,60.2241550695825,2328.628230616301,580.0049701789262,29811.083499005963,17346.22266401591,14614.910536779324,11661.679920477136,4,3
24,3,70,Alpena,Michigan,342.85714285714283,170557.14285714287,59.914285714285704,1652.8571428571427,657.757142857143,26687.142857142862,18944.28571428572,16625.714285714286,9795.714285714283,3,2
25,4,31,Amador,California,432.83870967741933,205838.70967741933,87.0,3200.0,909.8709677419356,30741.935483870966,22883.87096774193,25906.451612903227,9409.677419354837,3,2
26,1,2,Amherst,Virginia,696.5,491500.0,64.0,3350.0,1284.0,33400.0,54600.0,22050.0,23050.0,4,2
27,84,2610,Anchorage,Alaska,355.37816091954033,170321.83908045985,66.64559386973181,2319.195402298851,594.5356321839082,30969.386973180062,18922.950191570868,15665.249042145591,12432.298850574713,,
28,18,139,Anderson,Texas,360.5179856115108,167316.54676258992,64.13669064748203,2623.7410071942445,604.2661870503597,33087.76978417267,18579.856115107912,15876.978417266186,11846.043165467627,3,2
