Id,Name,Platform,Year,Genre,Publisher,Rank,Difficulty,Ign_score,NA_Sales,EU_Sales,JP_Sales,Other_Sales
1,Wii Sports,Wii,2006,Sports,Nintendo,1,nan,nan,41.49,29.02,3.77,8.46
2,Super Mario Bros.,NES,1985,Platform,Nintendo,2,nan,nan,29.08,3.58,6.81,0.77
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,3,nan,nan,15.85,12.88,3.79,3.31
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,4,nan,nan,15.75,11.01,3.28,2.96
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,5,nan,nan,11.27,8.89,10.22,1
6,Tetris,GB,1989,Puzzle,Nintendo,6,nan,10,23.2,2.26,4.22,0.58
7,New Super Mario Bros.,DS,2006,Platform,Nintendo,7,nan,nan,11.38,9.23,6.5,2.9
8,Wii Play,Wii,2006,Misc,Nintendo,8,nan,nan,14.03,9.2,2.93,2.85
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,9,nan,nan,14.59,7.06,4.7,2.26
10,Duck Hunt,NES,1984,Shooter,Nintendo,10,nan,nan,26.93,0.63,0.28,0.47
11,Nintendogs,DS,2005,Simulation,Nintendo,11,3,nan,9.07,11,1.93,2.75
12,Mario Kart DS,DS,2005,Racing,Nintendo,12,nan,nan,9.81,7.57,4.13,1.92
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,13,nan,nan,9,6.18,7.2,0.71
14,Wii Fit,Wii,2007,Sports,Nintendo,14,nan,nan,8.94,8.03,3.6,2.15
15,Wii Fit Plus,Wii,2009,Sports,Nintendo,15,nan,8,9.09,8.59,2.53,1.79
16,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,16,nan,nan,14.97,4.94,0.24,1.67
17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,17,nan,nan,7.01,9.27,0.97,4.14
18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,18,nan,nan,9.43,0.4,0.41,10.57
19,Super Mario World,SNES,1990,Platform,Nintendo,19,nan,nan,12.78,3.75,3.54,0.55
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,20,nan,3,4.75,9.26,4.16,2.05
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,21,nan,nan,6.42,4.52,6.04,1.37
22,Super Mario Land,GB,1989,Platform,Nintendo,22,nan,0,10.83,2.71,4.18,0.42
23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,23,nan,nan,9.54,3.44,3.84,0.46
24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,24,2,nan,9.63,5.31,0.06,1.38
25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,25,nan,nan,8.41,5.49,0.47,1.78
